Name,Company,Business address,Suburb,State,Postcode,Region,Phone,Link,Provider number,Latitude,Longitude
32 And Sunny,32 And Sunny,"Level 24, Three International Towers 300 Barangaroo Avenue",Sydney,NSW,2000,Sydney,0425 259 381,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=892,868,-33.8692957,151.2070786
365 Rehab,365 Rehab,4/6A The Crescent,Kingsgrove,NSW,2208,Sydney South,1300 742 365,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1051,1026,-33.9433367,151.0926297
Ability Rehabilitation Services,Ability Rehabilitation Services,78 John Street,Camden,NSW,2570,Sydney West,02 4656 1819,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1047,1022,-34.0175979,150.7164221
Ache Group - Sydney,Ache Group,"Suite 2, Level 6 2 Barrack Street",Sydney,NSW,2000,Sydney Central,02 8089 0262,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1039,1014,-33.8692957,151.2070786
Actevate - Brookvale,Actevate,1/507 Pittwater Road,Brookvale,NSW,2100,Sydney North,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1007,981,-33.759633,151.2788768
Actevate - Campbelltown,Actevate,"Suite 3.02, 1 Centennial Drive",Campbelltown,NSW,2560,Sydney South,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1009,983,-34.0882935,150.81131
Actevate - Canberra,Actevate,"Level 2, 7 Neptune Street",Woden,ACT,2606,Act,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1014,988,-35.3498582,149.0940482
Actevate - Liverpool,Actevate,79 Bathurst Street,Liverpool,NSW,2170,Sydney West,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1011,985,-33.919405,150.9218583
Actevate - Newcastle,Actevate,1 Tudor Street,Newcastle,NSW,2300,Hunter,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1012,986,-32.9286867,151.7756084
Actevate - Nowra,Actevate,109 Ryans Lane,Pyree,NSW,2540,Illawarra Shoalhaven,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1016,990,-34.899401,150.6960933
Actevate - Parramatta,Actevate,"Suite 4, Level 3 1 Horwood Place",Parramatta,NSW,2150,Sydney West,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1008,982,-33.8132774,151.0072765
Actevate - Penrith,Actevate,102 Derby Street,Penrith,NSW,2750,"Nepean, Blue Mountains",1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1010,984,-33.7539357,150.6793966
Actevate - Sydney,Actevate,"Level 13, 447 Kent Street",Sydney,NSW,2000,Sydney Central,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=524,514,-33.8692957,151.2070786
Actevate - Toronto,Actevate,Shop 1/32 Victory Parade,Toronto,NSW,2283,Hunter,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1013,987,-33.013441,151.5942043
Actevate - Wollongong,Actevate,"Unit 19, 21 Princes Highway",Fairy Meadow,NSW,2519,Illawarra Shoalhaven,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1015,989,-34.3934364,150.8936267
Active Occupational Health Services,Active Occupational Health Services,"Suite 1, Level 13 66 Goulburn Street",Sydney,NSW,2000,Sydney Central,02 9821 3321,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=305,305,-33.8692957,151.2070786
Actual Rehab Pty Ltd,Actual Rehab Pty Ltd,Po Box 3223,Umina Beach,NSW,2257,Central Coast,0487 136 306,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=978,952,-33.5177778,151.3094444
Acumen Health - Coffs Harbour,Acumen Health,"Suite 2, Level 2 43 Gordon Street",Coffs Harbour,NSW,2450,Mid North Coast,1300 622 734,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=824,800,-30.2695516,153.1027547
Acumen Health - Liverpool,Acumen Health,"The Reilly Centre Suite 6D, 389-393 Hume Highway",Liverpool,NSW,2170,Sydney West,1300 622 734,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=823,799,-33.9314256,150.9091697
Acumen Health - Parramatta,Acumen Health,Suite 30 30 Cowper Street,Parramatta,NSW,2150,Sydney West,1300 622 734,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=820,796,-33.8132774,151.0072765
Acumen Health - South Melbourne Vic,Acumen Health,"Level 4, Building E 100 Dorcas Street",South Melbourne,VIC,3205,Victoria,1300 622 734,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=822,798,-37.83344,144.9570533
"Acumen Health - Spring Hill, Qld",Acumen Health,"Suite 204, Level 2 67 Astor Terrace",Spring Hill,QLD,4000,Queensland,1300 622 734,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=821,797,-27.465945,153.0216801
