Name,Company,Business address,Suburb,State,Postcode,Region,Phone,Link,Provider number,Latitude,Longitude
32 And Sunny,32 And Sunny,"Level 24, Three International Towers 300 Barangaroo Avenue",Sydney,NSW,2000,Sydney,0425 259 381,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=892,,,
365 Rehab,365 Rehab,4/6A The Crescent,Kingsgrove,NSW,2208,Sydney South,1300 742 365,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1051,,,
Ability Rehabilitation Services,Ability Rehabilitation Services,78 John Street,Camden,NSW,2570,Sydney West,02 4656 1819,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1047,,,
Ache Group - Sydney,Ache Group,"Suite 2, Level 6 2 Barrack Street",Sydney,NSW,2000,Sydney Central,02 8089 0262,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1039,,,
Actevate - Brookvale,Actevate,1/507 Pittwater Road,Brookvale,NSW,2100,Sydney North,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1007,,,
Actevate - Campbelltown,Actevate,"Suite 3.02, 1 Centennial Drive",Campbelltown,NSW,2560,Sydney South,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1009,,,
Actevate - Canberra,Actevate,"Level 2, 7 Neptune Street",Woden,ACT,2606,Act,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1014,,,
Actevate - Liverpool,Actevate,79 Bathurst Street,Liverpool,NSW,2170,Sydney West,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1011,,,
Actevate - Newcastle,Actevate,1 Tudor Street,Newcastle,NSW,2300,Hunter,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1012,,,
Actevate - Nowra,Actevate,109 Ryans Lane,Pyree,NSW,2540,Illawarra Shoalhaven,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1016,,,
Actevate - Parramatta,Actevate,"Suite 4, Level 3 1 Horwood Place",Parramatta,NSW,2150,Sydney West,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1008,,,
Actevate - Penrith,Actevate,102 Derby Street,Penrith,NSW,2750,"Nepean, Blue Mountains",1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1010,,,
Actevate - Sydney,Actevate,"Level 13, 447 Kent Street",Sydney,NSW,2000,Sydney Central,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=524,,,
Actevate - Toronto,Actevate,Shop 1/32 Victory Parade,Toronto,NSW,2283,Hunter,1300 663 155,https://www.sira.nsw.gov.au/information-search/rehab-provider/detail?id=1013,,,
